index,element,allegro-mp-l,chgnet,dpa-3.1-3m-ft,dpa-3.1-mptrj,eqnorm-mptrj,hienet,mace-mp,mace-mp-0,mace-mpa-0,mattersim-v1,nequip-mp-l,nequip-oam-l,nequix-mp-pft,orb-v2,orb-v2-mptrj,orb-v3,pet-oam-xl,sevennet-l3i5,sevennet-omni,tace-v1-oam-m
24,Cr,-5.6018,-5.455,-5.3985,-5.6073,-5.6239,-4.7724,-6.2909,-6.3638,-5.6026,-6.067,-5.6018,-5.6018,-5.4762,-5.499,-5.5906,-5.5332,-7.9893,-5.3868,-4.8108,-5.6018
25,Mn,-5.3235,-5.1854,-5.3002,-5.3211,-5.3178,-5.232,-5.381,-5.4215,-5.3254,-5.8352,-5.3235,-5.3235,-5.3328,-5.2892,-5.3191,-5.2935,-7.941,-5.3295,-5.307,-5.3235
26,Fe,-3.5955,-3.5697,-3.3038,-3.2135,-3.4187,-3.0846,-3.8914,-4.2861,-3.52,-4.1816,-3.5955,-3.5955,-3.4101,-3.5312,-3.588,-3.8791,-6.9203,-3.5345,-3.6419,-3.5955
27,Co,-2.1496,-2.9183,-1.7855,-1.3878,-1.3512,-1.2736,-2.7029,-2.9393,-1.9356,-2.9253,-2.1496,-2.1496,-1.7299,-2.0457,-2.0029,-2.484,-5.9135,-1.2474,-1.8052,-2.1496
28,Ni,-1.0536,-1.3153,0.0136,-0.7959,-0.8039,0.1375,-1.5178,-1.9476,-0.9352,-2.1138,-1.0536,-1.0536,-1.0893,-1.0429,-0.9819,-1.2142,-4.8107,-0.4715,-0.9699,-1.0536
29,Cu,-0.6027,-0.6493,-0.5019,-0.656,-0.589,-0.4695,-0.9286,-0.4967,-0.6003,-1.6166,-0.6027,-0.6027,-0.6108,-0.5241,-0.5566,-1.0016,-2.8944,-0.5547,-0.4874,-0.6027
30,Zn,-0.1645,0.0823,-0.0269,-0.2399,-0.2027,-0.111,-0.0275,-0.032,-0.1651,-0.0727,-0.1645,-0.1645,-0.0431,-0.1109,-0.1557,0.1502,-0.9055,-0.1702,-0.1581,-0.1645
31,Ga,-0.4043,-0.6135,-0.5018,-0.6725,-0.6248,-0.8215,-0.8103,-0.605,-0.3299,-1.3709,-0.4043,-0.4043,-0.6413,-0.0923,-0.606,-0.837,-2.8172,-0.4365,-0.6474,-0.4043
32,Ge,-0.8916,-1.017,-0.8243,-0.9309,-0.8731,-0.8694,-1.1128,-1.2414,-0.7797,-2.2189,-0.8916,-0.8916,-0.9694,-0.7946,-0.9051,-1.6712,-4.3185,-1.0088,-0.7128,-0.8916
33,As,-1.6834,-1.2972,-1.5505,-1.3801,-1.5457,-1.1156,-1.418,-1.4576,-1.6837,-2.5135,-1.6834,-1.6834,-1.3427,-1.5364,-1.4891,-1.9812,-4.5653,-1.4122,-1.2227,-1.6834
